Choice situation,Paysage_1,Acces_1,Biodiversite_1,Biome_1,Temps_1,Paysage_2,Acces_2,Biodiversite_2,Biome_2,Temps_2,Paysage_SQ,Acces_SQ,Biodiversite_SQ,Biome_SQ,Temps_SQ
QCE1_SQ001,75,0,0,2,4,25,1,2,0,6,0,0,-1,-1,0
QCE2_SQ001,25,0,2,0,8,75,1,0,2,2,0,0,-1,-1,0
QCE3_SQ001,75,1,0,0,8,25,0,1,1,8,0,0,-1,-1,0
QCE4_SQ001,75,1,0,0,6,25,0,2,2,8,0,0,-1,-1,0
QCE5_SQ001,75,1,1,1,2,25,0,1,2,6,0,0,-1,-1,0
QCE6_SQ001,25,1,2,2,4,75,0,0,1,4,0,0,-1,-1,0
QCE7_SQ001,25,0,1,1,6,75,1,1,0,2,0,0,-1,-1,0
QCE8_SQ001,25,0,2,1,6,75,1,0,0,6,0,0,-1,-1,0
QCE9_SQ001,25,1,1,2,4,75,0,1,1,2,0,0,-1,-1,0
QCE10_SQ001,25,1,0,1,2,75,0,2,0,4,0,0,-1,-1,0
QCE11_SQ001,75,0,1,0,8,25,1,0,2,8,0,0,-1,-1,0
QCE12_SQ001,75,0,1,2,2,25,1,1,1,4,0,0,-1,-1,0
